warning_uid,warning_id,pair_id,rank,semantic_target_type,type,symbol,oracle_blind_rank,oracle_blind_score,ranker_source,reviewer1_label,reviewer1_notes,reviewer2_label,reviewer2_notes,adjudicated_label,adjudication_notes,label_source
c19cb71e527982293eb6cd548ace442bf00f6dfe460d7dd1b8d6137f2f753c96,W-000007,latest-p016-v6.16-to-v6.17,11,NullabilityDrift,SignatureDrift,regulator_get_voltage,59,6.0,"binddrift_current,binddrift_oracle_blind,binding_diff,c_signature,no_ranking,rust_use",BENIGN_DRIFT,"C-side drift and Rust exposure exist for regulator_get_voltage, but wrapper evidence is broad/not exact and semantic impact is not established.",UNCLEAR,Broad-family wrapper evidence plus Rust contract evidence triggers UNCLEAR; direct C evidence is not required to be absent.,BENIGN_DRIFT,"Reviewer 1 BENIGN_DRIFT vs Reviewer 2 UNCLEAR falls in the broad-family wrapper/Rust-exposure calibration class; real context exists, but no direct same-contract wrapper oracle or semantic-drift rule is satisfied, so BENIGN_DRIFT per v3 policy.",binddrift_review_m3_stable
d8f79e467f86c84e1f291c195f6e4cb94569fce965006cb105f6518d6dab57b3,W-000003,latest-p003-v6.3-to-v6.4,12,NullabilityDrift,SignatureDrift,PTR_ERR,65,5.75,"binddrift_current,binddrift_oracle_blind,binding_diff,c_signature,no_graph,no_ranking,random,rust_use",BENIGN_DRIFT,"C-side drift and Rust exposure exist for PTR_ERR, but wrapper evidence is broad/not exact and semantic impact is not established.",UNCLEAR,Broad-family wrapper evidence plus Rust contract evidence triggers UNCLEAR; direct C evidence is not required to be absent.,BENIGN_DRIFT,"Reviewer 1 BENIGN_DRIFT vs Reviewer 2 UNCLEAR falls in the broad-family wrapper/Rust-exposure calibration class; real context exists, but no direct same-contract wrapper oracle or semantic-drift rule is satisfied, so BENIGN_DRIFT per v3 policy.",binddrift_review_m3_stable
fd7adb7aa151991c0fadce9167e16b157fdd69559e3aaba40a8ec27f668cded0,W-000016,latest-p012-v6.12-to-v6.13,13,NullabilityDrift,SignatureDrift,device_add_disk,66,4.65,"binddrift_current,binddrift_oracle_blind,binding_diff,c_signature,no_impact_gate,no_ranking,random,rust_use",BENIGN_DRIFT,"C-side drift and Rust exposure exist for device_add_disk, but wrapper evidence is broad/not exact and semantic impact is not established.",UNCLEAR,Broad-family wrapper evidence plus Rust contract evidence triggers UNCLEAR; direct C evidence is not required to be absent.,BENIGN_DRIFT,"Reviewer 1 BENIGN_DRIFT vs Reviewer 2 UNCLEAR falls in the broad-family wrapper/Rust-exposure calibration class; real context exists, but no direct same-contract wrapper oracle or semantic-drift rule is satisfied, so BENIGN_DRIFT per v3 policy.",binddrift_review_m3_stable
faa9658fa81ce32c32088c814a76f9f395e38e9703ed634251125933ad168efb,W-000023,latest-p012-v6.12-to-v6.13,14,NullabilityDrift,SignatureDrift,mdiobus_write,67,4.15,"binddrift_current,binddrift_oracle_blind,binding_diff,c_signature,no_impact_gate,no_ranking,rust_use",BENIGN_DRIFT,"C-side drift and Rust exposure exist for mdiobus_write, but wrapper evidence is broad/not exact and semantic impact is not established.",UNCLEAR,Broad-family wrapper evidence plus Rust contract evidence triggers UNCLEAR; direct C evidence is not required to be absent.,BENIGN_DRIFT,"Reviewer 1 BENIGN_DRIFT vs Reviewer 2 UNCLEAR falls in the broad-family wrapper/Rust-exposure calibration class; real context exists, but no direct same-contract wrapper oracle or semantic-drift rule is satisfied, so BENIGN_DRIFT per v3 policy.",binddrift_review_m3_stable
bf35c5c408d37f62fd0a1e73d11b664b4af89d5481afc55cb5a6f9cc7b566b47,W-000025,latest-p012-v6.12-to-v6.13,15,NullabilityDrift,SignatureDrift,phy_write_mmd,68,4.15,"binddrift_current,binddrift_oracle_blind,binding_diff,c_signature,no_impact_gate,no_ranking,rust_use",BENIGN_DRIFT,"C-side drift and Rust exposure exist for phy_write_mmd, but wrapper evidence is broad/not exact and semantic impact is not established.",UNCLEAR,Broad-family wrapper evidence plus Rust contract evidence triggers UNCLEAR; direct C evidence is not required to be absent.,BENIGN_DRIFT,"Reviewer 1 BENIGN_DRIFT vs Reviewer 2 UNCLEAR falls in the broad-family wrapper/Rust-exposure calibration class; real context exists, but no direct same-contract wrapper oracle or semantic-drift rule is satisfied, so BENIGN_DRIFT per v3 policy.",binddrift_review_m3_stable
706e0cc54a15231ec665bcb8073f2634f1378b8de31f979cfd29bce0d895bae7,W-000024,latest-p012-v6.12-to-v6.13,16,NullabilityDrift,SignatureDrift,phy_read_mmd,69,4.15,"binddrift_current,binddrift_oracle_blind,binding_diff,c_signature,no_impact_gate,no_ranking,random,rust_use",BENIGN_DRIFT,"C-side drift and Rust exposure exist for phy_read_mmd, but wrapper evidence is broad/not exact and semantic impact is not established.",UNCLEAR,Broad-family wrapper evidence plus Rust contract evidence triggers UNCLEAR; direct C evidence is not required to be absent.,BENIGN_DRIFT,"Reviewer 1 BENIGN_DRIFT vs Reviewer 2 UNCLEAR falls in the broad-family wrapper/Rust-exposure calibration class; real context exists, but no direct same-contract wrapper oracle or semantic-drift rule is satisfied, so BENIGN_DRIFT per v3 policy.",binddrift_review_m3_stable
29eab9e65c684e7a1cd5032c4f7d5bd8357de1a747e56262f96d1abf66ba74ed,W-000022,latest-p012-v6.12-to-v6.13,17,NullabilityDrift,SignatureDrift,mdiobus_read,70,4.15,"binddrift_current,binddrift_oracle_blind,binding_diff,c_signature,no_impact_gate,no_ranking,rust_use",BENIGN_DRIFT,"C-side drift and Rust exposure exist for mdiobus_read, but wrapper evidence is broad/not exact and semantic impact is not established.",UNCLEAR,Broad-family wrapper evidence plus Rust contract evidence triggers UNCLEAR; direct C evidence is not required to be absent.,BENIGN_DRIFT,"Reviewer 1 BENIGN_DRIFT vs Reviewer 2 UNCLEAR falls in the broad-family wrapper/Rust-exposure calibration class; real context exists, but no direct same-contract wrapper oracle or semantic-drift rule is satisfied, so BENIGN_DRIFT per v3 policy.",binddrift_review_m3_stable
46b1fb124f9b8010a0bbad8532aec2f2ce82c1cb9537c8e6d0662155e5c3b565,W-000003,latest-p007-v6.7-to-v6.8,18,NullabilityDrift,SignatureDrift,mdiobus_write,71,3.65,"binddrift_current,binddrift_oracle_blind,binding_diff,no_ranking,rust_use",BENIGN_DRIFT,"C-side drift and Rust exposure exist for mdiobus_write, but wrapper evidence is broad/not exact and semantic impact is not established.",UNCLEAR,Broad-family wrapper evidence plus Rust contract evidence triggers UNCLEAR; direct C evidence is not required to be absent.,BENIGN_DRIFT,"Reviewer 1 BENIGN_DRIFT vs Reviewer 2 UNCLEAR falls in the broad-family wrapper/Rust-exposure calibration class; real context exists, but no direct same-contract wrapper oracle or semantic-drift rule is satisfied, so BENIGN_DRIFT per v3 policy.",binddrift_review_m3_stable
ceec60364681244ca5b696b5e694638302c96fdf2b65b32ac43ecff8c29ae0ab,W-000008,latest-p013-v6.13-to-v6.14,19,NullabilityDrift,SignatureDrift,pci_enable_device_mem,72,2.75,"binddrift_current,binddrift_oracle_blind,binding_diff,c_signature,no_ranking,rust_use",BENIGN_DRIFT,"C-side drift and Rust exposure exist for pci_enable_device_mem, but wrapper evidence is broad/not exact and semantic impact is not established.",UNCLEAR,Broad-family wrapper evidence plus Rust contract evidence triggers UNCLEAR; direct C evidence is not required to be absent.,BENIGN_DRIFT,"Reviewer 1 BENIGN_DRIFT vs Reviewer 2 UNCLEAR falls in the broad-family wrapper/Rust-exposure calibration class; real context exists, but no direct same-contract wrapper oracle or semantic-drift rule is satisfied, so BENIGN_DRIFT per v3 policy.",binddrift_review_m3_stable
9b85a80903051f937feb20f75aa41dcf43776b5937e2b13e4ee4b3a249821675,W-000003,latest-p013-v6.13-to-v6.14,20,NullabilityDrift,SignatureDrift,faux_device_create,73,2.75,"binddrift_current,binddrift_oracle_blind,binding_diff,no_ranking,rust_use",BENIGN_DRIFT,"C-side drift and Rust exposure exist for faux_device_create, but wrapper evidence is broad/not exact and semantic impact is not established.",UNCLEAR,Broad-family wrapper evidence plus Rust contract evidence triggers UNCLEAR; direct C evidence is not required to be absent.,BENIGN_DRIFT,"Reviewer 1 BENIGN_DRIFT vs Reviewer 2 UNCLEAR falls in the broad-family wrapper/Rust-exposure calibration class; real context exists, but no direct same-contract wrapper oracle or semantic-drift rule is satisfied, so BENIGN_DRIFT per v3 policy.",binddrift_review_m3_stable
f424888bb7aa5146dbd0912fbd9c62a3d1fe12383eb132a0f568710ed8425f4a,W-000005,latest-p016-v6.16-to-v6.17,21,NullabilityDrift,SignatureDrift,regulator_disable,81,1.85,"binddrift_current,binddrift_oracle_blind,binding_diff,c_signature,no_impact_gate,no_ranking,random,rust_use",BENIGN_DRIFT,"C-side drift and Rust exposure exist for regulator_disable, but wrapper evidence is broad/not exact and semantic impact is not established.",UNCLEAR,Broad-family wrapper evidence plus Rust contract evidence triggers UNCLEAR; direct C evidence is not required to be absent.,BENIGN_DRIFT,"Reviewer 1 BENIGN_DRIFT vs Reviewer 2 UNCLEAR falls in the broad-family wrapper/Rust-exposure calibration class; real context exists, but no direct same-contract wrapper oracle or semantic-drift rule is satisfied, so BENIGN_DRIFT per v3 policy.",binddrift_review_m3_stable
a3d89044e191c0409751d7986088db2623ef9ff2bb3853007fe5cd574b88a786,W-000001,latest-p002-v6.2-to-v6.3,22,NullabilityDrift,SignatureDrift,REFCOUNT_INIT,82,1.75,"binddrift_current,binddrift_oracle_blind,binding_diff,no_graph,no_ranking,rust_use",BENIGN_DRIFT,"C-side drift and Rust exposure exist for REFCOUNT_INIT, but wrapper evidence is broad/not exact and semantic impact is not established.",UNCLEAR,Broad-family wrapper evidence plus Rust contract evidence triggers UNCLEAR; direct C evidence is not required to be absent.,BENIGN_DRIFT,"Reviewer 1 BENIGN_DRIFT vs Reviewer 2 UNCLEAR falls in the broad-family wrapper/Rust-exposure calibration class; real context exists, but no direct same-contract wrapper oracle or semantic-drift rule is satisfied, so BENIGN_DRIFT per v3 policy.",binddrift_review_m3_stable
339034d13e5b54b7835e94c98504f8cbc6b3061ac81732d89bc79791620c64bc,W-000030,latest-p012-v6.12-to-v6.13,23,NullabilityDrift,SignatureDrift,task_tgid_nr_ns,88,1.65,"binddrift_current,binddrift_oracle_blind,binding_diff,no_ranking,rust_use",BENIGN_DRIFT,"C-side drift and Rust exposure exist for task_tgid_nr_ns, but wrapper evidence is broad/not exact and semantic impact is not established.",UNCLEAR,Broad-family wrapper evidence plus Rust contract evidence triggers UNCLEAR; direct C evidence is not required to be absent.,BENIGN_DRIFT,"Reviewer 1 BENIGN_DRIFT vs Reviewer 2 UNCLEAR falls in the broad-family wrapper/Rust-exposure calibration class; real context exists, but no direct same-contract wrapper oracle or semantic-drift rule is satisfied, so BENIGN_DRIFT per v3 policy.",binddrift_review_m3_stable
54225f142a952eea67a81b5b332ef77b7114b75ce97453c238d1110be97165d5,W-000001,latest-p003-v6.3-to-v6.4,24,NullabilityDrift,SignatureDrift,ERR_PTR,90,1.4,"binddrift_current,binddrift_oracle_blind,binding_diff,no_graph,no_ranking,rust_use",BENIGN_DRIFT,"C-side drift and Rust exposure exist for ERR_PTR, but wrapper evidence is broad/not exact and semantic impact is not established.",UNCLEAR,Broad-family wrapper evidence plus Rust contract evidence triggers UNCLEAR; direct C evidence is not required to be absent.,BENIGN_DRIFT,"Reviewer 1 BENIGN_DRIFT vs Reviewer 2 UNCLEAR falls in the broad-family wrapper/Rust-exposure calibration class; real context exists, but no direct same-contract wrapper oracle or semantic-drift rule is satisfied, so BENIGN_DRIFT per v3 policy.",binddrift_review_m3_stable
4be0f10410a82b17143a9815c512f6f6670896ddbda91713c0011fce8dcb611d,W-000002,latest-p003-v6.3-to-v6.4,25,NullabilityDrift,SignatureDrift,IS_ERR,92,0.2,"binddrift_current,binddrift_oracle_blind,binding_diff,no_graph,no_ranking,random,rust_use",BENIGN_DRIFT,"C-side drift and Rust exposure exist for IS_ERR, but wrapper evidence is broad/not exact and semantic impact is not established.",UNCLEAR,Broad-family wrapper evidence plus Rust contract evidence triggers UNCLEAR; direct C evidence is not required to be absent.,BENIGN_DRIFT,"Reviewer 1 BENIGN_DRIFT vs Reviewer 2 UNCLEAR falls in the broad-family wrapper/Rust-exposure calibration class; real context exists, but no direct same-contract wrapper oracle or semantic-drift rule is satisfied, so BENIGN_DRIFT per v3 policy.",binddrift_review_m3_stable
762ae9d89108b8018f94f2c47247c4de6e59c6d10b5187fca6d2d1b9bc69c0b7,W-000003,latest-p010-v6.10-to-v6.11,26,NullabilityDrift,SignatureDrift,device_add_disk,93,-0.35,"binddrift_current,binddrift_oracle_blind,binding_diff,no_ranking,rust_use",BENIGN_DRIFT,"C-side drift and Rust exposure exist for device_add_disk, but wrapper evidence is broad/not exact and semantic impact is not established.",UNCLEAR,Broad-family wrapper evidence plus Rust contract evidence triggers UNCLEAR; direct C evidence is not required to be absent.,BENIGN_DRIFT,"Reviewer 1 BENIGN_DRIFT vs Reviewer 2 UNCLEAR falls in the broad-family wrapper/Rust-exposure calibration class; real context exists, but no direct same-contract wrapper oracle or semantic-drift rule is satisfied, so BENIGN_DRIFT per v3 policy.",binddrift_review_m3_stable
766106ed6eaed336d0656735e443dc9de1b0bf707559141278aabb3dd4ff9f64,W-000002,latest-p007-v6.7-to-v6.8,27,NullabilityDrift,SignatureDrift,mdiobus_read,94,-0.7,"binddrift_current,binddrift_oracle_blind,no_ranking",BENIGN_DRIFT,"C-side drift and Rust exposure exist for mdiobus_read, but wrapper evidence is broad/not exact and semantic impact is not established.",UNCLEAR,Broad-family wrapper evidence plus Rust contract evidence triggers UNCLEAR; direct C evidence is not required to be absent.,BENIGN_DRIFT,"Reviewer 1 BENIGN_DRIFT vs Reviewer 2 UNCLEAR falls in the broad-family wrapper/Rust-exposure calibration class; real context exists, but no direct same-contract wrapper oracle or semantic-drift rule is satisfied, so BENIGN_DRIFT per v3 policy.",binddrift_review_m3_stable
b0d1fb6b6f2efc82a7834853525b8eae24308bc410ce6edbef44640dcc87dfbe,W-000008,latest-p020-v7.0-to-HEAD_9207d47f966b,28,NullabilityDrift,SignatureDrift,gpu_buddy_init,104,-5.85,"binding_diff,c_signature,rust_use",BENIGN_DRIFT,"C-side drift and Rust exposure exist for gpu_buddy_init, but wrapper evidence is broad/not exact and semantic impact is not established.",UNCLEAR,Broad-family wrapper evidence plus Rust contract evidence triggers UNCLEAR; direct C evidence is not required to be absent.,BENIGN_DRIFT,"Reviewer 1 BENIGN_DRIFT vs Reviewer 2 UNCLEAR falls in the broad-family wrapper/Rust-exposure calibration class; real context exists, but no direct same-contract wrapper oracle or semantic-drift rule is satisfied, so BENIGN_DRIFT per v3 policy.",binddrift_review_m3_stable
4d882d1f6a1138d581132f19f57ffc916e719f96314cc4a6c2379342e17d22cc,W-000001,latest-p006-v6.6-to-v6.7,29,NullabilityDrift,SignatureDrift,compat_ptr_ioctl,603,-1.15,no_ranking,TRUE_WRAPPER_FIX,Packet reports a direct same-symbol Rust wrapper/helper/binding fix for compat_ptr_ioctl.,TRUE_WRAPPER_FIX,Same-symbol wrapper oracle matched before lower-priority rules.,TRUE_WRAPPER_FIX,Direct same-symbol wrapper oracle is present; adjudicated TRUE_WRAPPER_FIX per v3 policy.,binddrift_review_m3_stable
1ab7c9fbf3cbdb7da087b96d05915ea64f5bec88f6d695ed991ec50524390f82,F-000061,latest-p011-v6.11-to-v6.12,30,NullabilityDrift,SignatureDrift,inode_dio_wait_interruptible,2217,-14.15,,FALSE_POSITIVE,Warning is generated/binding-only or unsupported for inode_dio_wait_interruptible with no non-generated C proof and no reachable Rust impact.,FALSE_POSITIVE,Unsupported generated binding target rule matched.,FALSE_POSITIVE,Unsupported generated binding target calibration is present; adjudicated FALSE_POSITIVE per v3 policy.,binddrift_review_m3_stable
1501e4e5d637faad296f7850d5ccc050caa1bcc09cc9775b9262dd860b7830a4,F-000172,latest-p003-v6.3-to-v6.4,31,NullabilityDrift,SignatureDrift,schedule_timeout_interruptible,2243,-14.15,,FALSE_POSITIVE,Warning is generated/binding-only or unsupported for schedule_timeout_interruptible with no non-generated C proof and no reachable Rust impact.,FALSE_POSITIVE,Unsupported generated binding target rule matched.,FALSE_POSITIVE,Unsupported generated binding target calibration is present; adjudicated FALSE_POSITIVE per v3 policy.,binddrift_review_m3_stable
0534884ea89e06211cba532c2812c2f5f6effef91c656a288276f5af4167920a,F-000852,latest-p016-v6.16-to-v6.17,32,NullabilityDrift,SignatureDrift,vprintk_deferred,2302,-14.15,,FALSE_POSITIVE,Warning is generated/binding-only or unsupported for vprintk_deferred with no non-generated C proof and no reachable Rust impact.,FALSE_POSITIVE,Unsupported generated binding target rule matched.,FALSE_POSITIVE,Unsupported generated binding target calibration is present; adjudicated FALSE_POSITIVE per v3 policy.,binddrift_review_m3_stable
039bee4b4979e30aad2b2ec257f555452d10cfc3b8569513081c99c136e7d6a2,F-000445,latest-p013-v6.13-to-v6.14,33,NullabilityDrift,SignatureDrift,pci_status_get_and_clear_errors,2310,-14.15,,FALSE_POSITIVE,Warning is generated/binding-only or unsupported for pci_status_get_and_clear_errors with no non-generated C proof and no reachable Rust impact.,FALSE_POSITIVE,Unsupported generated binding target rule matched.,FALSE_POSITIVE,Unsupported generated binding target calibration is present; adjudicated FALSE_POSITIVE per v3 policy.,binddrift_review_m3_stable
0189e8bc9c811d0da63a3b1cc4a9ba896f03c1d2dcd83ccf2f699ed2d5cddc66,F-000540,latest-p015-v6.15-to-v6.16,34,NullabilityDrift,SignatureDrift,xa_err,2324,-14.15,,FALSE_POSITIVE,Warning is generated/binding-only or unsupported for xa_err with no non-generated C proof and no reachable Rust impact.,FALSE_POSITIVE,Unsupported generated binding target rule matched.,FALSE_POSITIVE,Unsupported generated binding target calibration is present; adjudicated FALSE_POSITIVE per v3 policy.,binddrift_review_m3_stable
010eec7a3ee528d9901e3fb06ad2ede4f49e272c5d3c09f032d5deeba85c01a4,F-000317,latest-p016-v6.16-to-v6.17,35,NullabilityDrift,SignatureDrift,acpi_os_table_override,2325,-14.15,,FALSE_POSITIVE,Warning is generated/binding-only or unsupported for acpi_os_table_override with no non-generated C proof and no reachable Rust impact.,FALSE_POSITIVE,Unsupported generated binding target rule matched.,FALSE_POSITIVE,Unsupported generated binding target calibration is present; adjudicated FALSE_POSITIVE per v3 policy.,binddrift_review_m3_stable
0778814478340b8100c1a75e6070dacf08ccb62ae1c405e1e909bfabb6fbd369,F-000436,latest-p014-v6.14-to-v6.15,36,NullabilityDrift,MacroConstDrift,skb_drop_reason_SKB_DROP_REASON_PACKET_SOCK_ERROR,2476,-15.65,,FALSE_POSITIVE,Warning is generated/binding-only or unsupported for skb_drop_reason_SKB_DROP_REASON_PACKET_SOCK_ERROR with no non-generated C proof and no reachable Rust impact.,FALSE_POSITIVE,Unsupported generated binding target rule matched.,FALSE_POSITIVE,Unsupported generated binding target calibration is present; adjudicated FALSE_POSITIVE per v3 policy.,binddrift_review_m3_stable
0563f2b05b5a39012353f652caf7bff343eec8f0d7e52444ea080ae67f10fb31,F-004378,latest-p012-v6.12-to-v6.13,37,NullabilityDrift,MacroConstDrift,mthp_stat_item_MTHP_STAT_SPLIT_DEFERRED,2477,-15.65,,FALSE_POSITIVE,Warning is generated/binding-only or unsupported for mthp_stat_item_MTHP_STAT_SPLIT_DEFERRED with no non-generated C proof and no reachable Rust impact.,FALSE_POSITIVE,Unsupported generated binding target rule matched.,FALSE_POSITIVE,Unsupported generated binding target calibration is present; adjudicated FALSE_POSITIVE per v3 policy.,binddrift_review_m3_stable
02ebeaef1401f5b8adcabc7f44a1fcea3330e1d9787a72e92fab2e713d9e770c,F-001052,latest-p007-v6.7-to-v6.8,38,NullabilityDrift,SignatureDrift,parse_args,6475,-21.15,,FALSE_POSITIVE,Warning is generated/binding-only or unsupported for parse_args with no non-generated C proof and no reachable Rust impact.,FALSE_POSITIVE,Unsupported generated binding target rule matched.,FALSE_POSITIVE,Unsupported generated binding target calibration is present; adjudicated FALSE_POSITIVE per v3 policy.,binddrift_review_m3_stable
