sample_id,is_correct,error_type,notes
c_behavior_indicators-051,true,,negative errno return is inside dev_pm_opp_get_supplies
c_behavior_indicators-052,true,,NULL return is inside cpufreq_cpu_get
c_behavior_indicators-053,true,,ERR_PTR return is inside of_clk_get
c_behavior_indicators-054,true,,NULL return is inside pci_find_next_bus
c_behavior_indicators-055,true,,pagetable_alloc_noprof calls alloc_pages_noprof
c_behavior_indicators-056,true,,kunit_kmalloc delegates to kunit_kmalloc_array
c_behavior_indicators-057,true,,NULL return is inside pci_get_device_reverse
c_behavior_indicators-058,true,,might_alloc is in the xa_alloc_cyclic_irq allocation path
c_behavior_indicators-059,true,,regulator_get call is inside rust_helper_regulator_get
c_behavior_indicators-060,true,,negative errno return is inside pcibios_err_to_errno
c_behavior_indicators-061,true,,rcu_read_lock call is inside rust_helper_rcu_read_lock
c_behavior_indicators-062,true,,negative errno return is inside usb_translate_errors
c_behavior_indicators-063,true,,negative errno return is inside clk_set_duty_cycle
c_behavior_indicators-064,false,REGEX_ARTIFACT,kmalloc_index appears in a BUG message and no allocation occurs
c_behavior_indicators-065,true,,bitmap_allocate_region call is inside bitmap_find_free_region
c_behavior_indicators-066,true,,might_sleep call is inside pwm_put
c_behavior_indicators-067,true,,negative errno return is inside kiocb_set_rw_flags
c_behavior_indicators-068,true,,rust_helper_dma_alloc_attrs calls dma_alloc_attrs
c_behavior_indicators-069,true,,negative errno return is inside find_acpi_cache_level_from_id
c_behavior_indicators-070,true,,devtmpfs_create_node is a create API stub and symbol matches
c_behavior_indicators-071,true,,kset_get call is inside subsys_get
c_behavior_indicators-072,true,,negative errno return is inside clk_set_phase
c_behavior_indicators-073,true,,negative errno return is inside security_socket_getpeersec_dgram
c_behavior_indicators-074,true,,NULL return is inside devm_clk_get_optional_enabled
c_behavior_indicators-075,true,,negative errno return is inside acpi_dev_uid_to_integer
c_behavior_indicators-076,true,,negative errno return is inside dma_get_sgtable_attrs
c_behavior_indicators-077,true,,NULL return is inside regulator_get
c_behavior_indicators-078,true,,NULL return is inside pci_get_base_class
c_behavior_indicators-079,true,,negative errno return is inside firmware_request_nowarn
c_behavior_indicators-080,true,,negative errno return is inside firmware_request_nowarn
c_behavior_indicators-081,true,,debugfs_create_xul delegates to debugfs_create_x32 or debugfs_create_x64
c_behavior_indicators-082,true,,negative errno return is inside dev_pm_opp_add_dynamic
c_behavior_indicators-083,true,,negative errno return is inside pci_msix_vec_count
c_behavior_indicators-084,true,,negative errno return is inside security_inode_copy_up_xattr
c_behavior_indicators-085,true,,ERR_PTR return is inside acpi_get_subsystem_id
c_behavior_indicators-086,true,,ERR_PTR return is inside devm_fwnode_pwm_get
c_behavior_indicators-087,true,,ptlock_alloc call is inside ptlock_init
c_behavior_indicators-088,true,,sched_core_free is a free API stub and symbol matches
c_behavior_indicators-089,true,,negative errno return is inside dev_pm_opp_of_add_table
c_behavior_indicators-090,true,,NULL return is inside clk_get_parent
c_behavior_indicators-091,true,,negative errno return is inside request_firmware_direct
c_behavior_indicators-092,true,,PTR_ERR call supports the IS_ERR_CHECK indicator family
c_behavior_indicators-093,true,,negative errno return is inside dev_pm_opp_get_supplies
c_behavior_indicators-094,true,,negative errno return is inside clk_set_duty_cycle
c_behavior_indicators-095,true,,negative errno return is inside pwm_config
c_behavior_indicators-096,true,,ERR_PTR return is inside dev_pm_opp_get_opp_table
c_behavior_indicators-097,true,,negative errno return is inside kiocb_set_rw_flags
c_behavior_indicators-098,true,,dma_alloc_wc delegates to dma_alloc_attrs
c_behavior_indicators-099,true,,NULL return is inside cpufreq_cpu_get_raw
c_behavior_indicators-100,true,,negative errno return is inside pci_irq_vector
