sample_id,is_correct,error_type,notes
rust_binding_uses-041,true,,line calls bindings::cpu_relax
rust_binding_uses-042,true,,callback parameter exposes *mut bindings::device
rust_binding_uses-043,true,,const maps to bindings::IRQF_TRIGGER_FALLING
rust_binding_uses-044,true,,ioctl fallback uses bindings::compat_ptr_ioctl
rust_binding_uses-045,true,,return type exposes *mut bindings::module
rust_binding_uses-046,true,,enum value maps to bindings::PCI_VENDOR_ID_ARIMA
rust_binding_uses-047,true,,const maps to bindings::drm_ioctl_flags_DRM_MASTER
rust_binding_uses-048,true,,line calls bindings::security_release_secctx
rust_binding_uses-049,true,,line calls bindings::generic_file_open
rust_binding_uses-050,true,,callback parameter exposes *mut bindings::phy_device
rust_binding_uses-051,true,,line includes bindings::USB_DEVICE_ID_MATCH_INT_NUMBER
rust_binding_uses-052,true,,const maps to bindings::NSEC_PER_SEC
rust_binding_uses-053,true,,local pointer exposes *mut bindings::cpumask
rust_binding_uses-054,true,,line calls bindings::memchr
rust_binding_uses-055,true,,line calls bindings::auxiliary_driver_unregister
rust_binding_uses-056,true,,enum value maps to bindings::PCI_VENDOR_ID_ELSA
rust_binding_uses-057,true,,lifetime marker exposes bindings::poll_table
rust_binding_uses-058,true,,enum value maps to bindings::PCI_VENDOR_ID_O2
rust_binding_uses-059,true,,static initializer uses bindings::KERN_CONT
rust_binding_uses-060,true,,line calls bindings::blk_mq_rq_to_pdu
rust_binding_uses-061,true,,line uses bindings::system_highpri_wq
rust_binding_uses-062,true,,line calls bindings::_printk
rust_binding_uses-063,true,,const maps to bindings::O_CLOEXEC
rust_binding_uses-064,true,,enum value maps to bindings::PCI_CLASS_COMMUNICATION_OTHER
rust_binding_uses-065,true,,parameter exposes *mut bindings::lock_class_key
rust_binding_uses-066,true,,line uses bindings::KERN_DEBUG
rust_binding_uses-067,true,,enum value maps to bindings::hrtimer_restart_HRTIMER_RESTART
rust_binding_uses-068,true,,line calls bindings::genphy_suspend
rust_binding_uses-069,true,,line calls bindings::get_pid_ns
rust_binding_uses-070,true,,line calls bindings::memchr
rust_binding_uses-071,true,,container_of uses bindings::io_pgtable
rust_binding_uses-072,true,,associated type exposes bindings::pci_driver
rust_binding_uses-073,true,,line calls bindings::prepare_to_wait_exclusive
rust_binding_uses-074,true,,line calls bindings::mutex_trylock
rust_binding_uses-075,true,,enum value maps to bindings::PCI_VENDOR_ID_BCM_GVC
rust_binding_uses-076,true,,enum value maps to bindings::PCI_VENDOR_ID_MICRO_MEMORY
rust_binding_uses-077,true,,function bound exposes *mut bindings::work_struct
rust_binding_uses-078,true,,const maps to bindings::VM_LOCKONFAULT
rust_binding_uses-079,true,,allocation flags use bindings::__GFP_ZERO
rust_binding_uses-080,true,,parameter exposes *mut bindings::lock_class_key
rust_binding_uses-081,true,,struct wraps Opaque<bindings::request>
rust_binding_uses-082,true,,line calls bindings::_copy_from_user
rust_binding_uses-083,true,,callback return type exposes *mut bindings::config_group
rust_binding_uses-084,true,,enum value maps to bindings::PCI_VENDOR_ID_GIGABYTE
rust_binding_uses-085,true,,line calls bindings::_printk
rust_binding_uses-086,true,,line calls bindings::prepare_to_wait_exclusive
rust_binding_uses-087,true,,callback parameter exposes *mut bindings::pci_dev
rust_binding_uses-088,true,,const maps to bindings::TASK_NORMAL
rust_binding_uses-089,true,,const maps to bindings::O_NONBLOCK
rust_binding_uses-090,true,,const maps to bindings::hrtimer_mode_HRTIMER_MODE_REL_SOFT
rust_binding_uses-091,true,,callback parameter exposes *mut bindings::hrtimer
rust_binding_uses-092,true,,line calls bindings::strncpy_from_user
rust_binding_uses-093,true,,struct field exposes Opaque<bindings::file>
rust_binding_uses-094,true,,line calls bindings::_printk
rust_binding_uses-095,true,,line calls bindings::__init_waitqueue_head
rust_binding_uses-096,true,,line selects bindings::release_mem_region
rust_binding_uses-097,true,,callback parameter exposes *const bindings::blk_mq_queue_data
rust_binding_uses-098,true,,const maps to bindings::O_NOFOLLOW
rust_binding_uses-099,true,,callback parameter exposes *mut bindings::cpufreq_policy
rust_binding_uses-100,true,,container_of uses bindings::platform_device
