sample_id,extractor_name,version,audit_pair_id,file,line,symbol,extracted_fact,raw_context,control_label,control_category,reviewer1_label,reviewer1_provenance,reviewer2_label,reviewer2_provenance,adjudicated_label,adjudication_provenance,error_category,notes
c_functions-1281,c_functions,v6.1,latest-p001-v6.1-to-v6.2,.binddrift/worktrees/v6.1/include/linux/slab.h,463,kfree_bulk,"{""c_symbol"": ""kfree_bulk"", ""definition_file"": "".binddrift/worktrees/v6.1/include/linux/slab.h"", ""header_file"": "".binddrift/worktrees/v6.1/include/linux/slab.h"", ""line"": 463, ""params"": ""[\""size_t size\"", \""void **p\""]"", ""return_type"": ""static __always_inline void"", ""version_id"": ""v6.1""}","[""size_t size"", ""void **p""]",,,CORRECT,m7-extractor-audit-reviewer1-llm-assisted,CORRECT,m7-extractor-audit-reviewer2-llm-assisted,CORRECT,m7-extractor-audit-adjudicator-llm-assisted,,reviewed strict extractor fact against stored context; no extractor error found
c_functions-011,c_functions,v6.12,latest-p012-v6.12-to-v6.13,.binddrift/worktrees/v6.12/include/linux/blkdev.h,1163,queue_max_bytes,"{""c_symbol"": ""queue_max_bytes"", ""definition_file"": "".binddrift/worktrees/v6.12/include/linux/blkdev.h"", ""header_file"": "".binddrift/worktrees/v6.12/include/linux/blkdev.h"", ""line"": 1163, ""params"": ""[\""struct request_queue *q\""]"", ""return_type"": ""static inline unsigned int"", ""version_id"": ""v6.12""}","[""struct request_queue *q""]",,,CORRECT,m7-extractor-audit-reviewer1-llm-assisted,CORRECT,m7-extractor-audit-reviewer2-llm-assisted,CORRECT,m7-extractor-audit-adjudicator-llm-assisted,,reviewed strict extractor fact against stored context; no extractor error found
c_functions-006,c_functions,v6.13,latest-p013-v6.13-to-v6.14,.binddrift/worktrees/v6.13/include/linux/cred.h,180,override_creds_light,"{""c_symbol"": ""override_creds_light"", ""definition_file"": "".binddrift/worktrees/v6.13/include/linux/cred.h"", ""header_file"": "".binddrift/worktrees/v6.13/include/linux/cred.h"", ""line"": 180, ""params"": ""[\""const struct cred *override_cred\""]"", ""return_type"": ""static inline const struct cred *"", ""version_id"": ""v6.13""}","[""const struct cred *override_cred""]",,,CORRECT,m7-extractor-audit-reviewer1-llm-assisted,CORRECT,m7-extractor-audit-reviewer2-llm-assisted,CORRECT,m7-extractor-audit-adjudicator-llm-assisted,,reviewed strict extractor fact against stored context; no extractor error found
c_functions-008,c_functions,v6.14,latest-p014-v6.14-to-v6.15,.binddrift/worktrees/v6.14/include/linux/phy.h,1832,phy_device_register,"{""c_symbol"": ""phy_device_register"", ""definition_file"": """", ""header_file"": "".binddrift/worktrees/v6.14/include/linux/phy.h"", ""line"": 1832, ""params"": ""[\""struct phy_device *phy\""]"", ""return_type"": ""int"", ""version_id"": ""v6.14""}","[""struct phy_device *phy""]",NEGATIVE_CONTROL,HEADER_DECLARATION_WITHOUT_BODY,CORRECT,m7-extractor-audit-reviewer1-llm-assisted,CORRECT,m7-extractor-audit-reviewer2-llm-assisted,CORRECT,m7-extractor-audit-adjudicator-llm-assisted,,"negative-control:HEADER_DECLARATION_WITHOUT_BODY; adjudicated extractor fact is correct, but this row documents a boundary where the parser should not be treated as completeness evidence"
c_functions-012,c_functions,v6.15,latest-p015-v6.15-to-v6.16,.binddrift/worktrees/v6.15/include/linux/blkdev.h,764,bdev_partno,"{""c_symbol"": ""bdev_partno"", ""definition_file"": "".binddrift/worktrees/v6.15/include/linux/blkdev.h"", ""header_file"": "".binddrift/worktrees/v6.15/include/linux/blkdev.h"", ""line"": 764, ""params"": ""[\""const struct block_device *bdev\""]"", ""return_type"": ""static inline u8"", ""version_id"": ""v6.15""}","[""const struct block_device *bdev""]",,,CORRECT,m7-extractor-audit-reviewer1-llm-assisted,CORRECT,m7-extractor-audit-reviewer2-llm-assisted,CORRECT,m7-extractor-audit-adjudicator-llm-assisted,,reviewed strict extractor fact against stored context; no extractor error found
c_functions-014,c_functions,v6.16,latest-p016-v6.16-to-v6.17,.binddrift/worktrees/v6.16/include/linux/pci.h,1430,pci_store_saved_state,"{""c_symbol"": ""pci_store_saved_state"", ""definition_file"": """", ""header_file"": "".binddrift/worktrees/v6.16/include/linux/pci.h"", ""line"": 1430, ""params"": ""[\""struct pci_dev *dev\""]"", ""return_type"": ""struct pci_saved_state *"", ""version_id"": ""v6.16""}","[""struct pci_dev *dev""]",NEGATIVE_CONTROL,HEADER_DECLARATION_WITHOUT_BODY,CORRECT,m7-extractor-audit-reviewer1-llm-assisted,CORRECT,m7-extractor-audit-reviewer2-llm-assisted,CORRECT,m7-extractor-audit-adjudicator-llm-assisted,,"negative-control:HEADER_DECLARATION_WITHOUT_BODY; adjudicated extractor fact is correct, but this row documents a boundary where the parser should not be treated as completeness evidence"
c_functions-003,c_functions,v6.17,latest-p017-v6.17-to-v6.18,.binddrift/worktrees/v6.17/include/linux/platform_device.h,361,platform_pm_thaw,"{""c_symbol"": ""platform_pm_thaw"", ""definition_file"": """", ""header_file"": "".binddrift/worktrees/v6.17/include/linux/platform_device.h"", ""line"": 361, ""params"": ""[\""struct device *dev\""]"", ""return_type"": ""extern int"", ""version_id"": ""v6.17""}","[""struct device *dev""]",NEGATIVE_CONTROL,HEADER_DECLARATION_WITHOUT_BODY,CORRECT,m7-extractor-audit-reviewer1-llm-assisted,CORRECT,m7-extractor-audit-reviewer2-llm-assisted,CORRECT,m7-extractor-audit-adjudicator-llm-assisted,,"negative-control:HEADER_DECLARATION_WITHOUT_BODY; adjudicated extractor fact is correct, but this row documents a boundary where the parser should not be treated as completeness evidence"
c_functions-015,c_functions,v6.18,latest-p018-v6.18-to-v6.19,.binddrift/worktrees/v6.18/include/linux/acpi.h,1218,acpi_ec_set_gpe_wake_mask,"{""c_symbol"": ""acpi_ec_set_gpe_wake_mask"", ""definition_file"": "".binddrift/worktrees/v6.18/include/linux/acpi.h"", ""header_file"": "".binddrift/worktrees/v6.18/include/linux/acpi.h"", ""line"": 1218, ""params"": ""[\""u8 action\""]"", ""return_type"": ""static inline void"", ""version_id"": ""v6.18""}","[""u8 action""]",,,CORRECT,m7-extractor-audit-reviewer1-llm-assisted,CORRECT,m7-extractor-audit-reviewer2-llm-assisted,CORRECT,m7-extractor-audit-adjudicator-llm-assisted,,reviewed strict extractor fact against stored context; no extractor error found
c_functions-013,c_functions,v6.19,latest-p019-v6.19-to-v7.0,.binddrift/worktrees/v6.19/include/linux/regulator/consumer.h,165,devm_regulator_get_enable,"{""c_symbol"": ""devm_regulator_get_enable"", ""definition_file"": """", ""header_file"": "".binddrift/worktrees/v6.19/include/linux/regulator/consumer.h"", ""line"": 165, ""params"": ""[\""struct device *dev\"", \""const char *id\""]"", ""return_type"": ""int"", ""version_id"": ""v6.19""}","[""struct device *dev"", ""const char *id""]",NEGATIVE_CONTROL,HEADER_DECLARATION_WITHOUT_BODY,CORRECT,m7-extractor-audit-reviewer1-llm-assisted,CORRECT,m7-extractor-audit-reviewer2-llm-assisted,CORRECT,m7-extractor-audit-adjudicator-llm-assisted,,"negative-control:HEADER_DECLARATION_WITHOUT_BODY; adjudicated extractor fact is correct, but this row documents a boundary where the parser should not be treated as completeness evidence"
c_functions-002,c_functions,v7.0,latest-p020-v7.0-to-HEAD_9207d47f966b,.binddrift/worktrees/v7.0/include/linux/pci.h,1919,pci_enable_link_state,"{""c_symbol"": ""pci_enable_link_state"", ""definition_file"": "".binddrift/worktrees/v7.0/include/linux/pci.h"", ""header_file"": "".binddrift/worktrees/v7.0/include/linux/pci.h"", ""line"": 1919, ""params"": ""[\""struct pci_dev *pdev\"", \""int state\""]"", ""return_type"": ""static inline int"", ""version_id"": ""v7.0""}","[""struct pci_dev *pdev"", ""int state""]",,,CORRECT,m7-extractor-audit-reviewer1-llm-assisted,CORRECT,m7-extractor-audit-reviewer2-llm-assisted,CORRECT,m7-extractor-audit-adjudicator-llm-assisted,,reviewed strict extractor fact against stored context; no extractor error found
c_functions-2357,c_functions,v6.1,latest-p001-v6.1-to-v6.2,.binddrift/worktrees/v6.1/include/linux/slab.h,215,kmem_valid_obj,"{""c_symbol"": ""kmem_valid_obj"", ""definition_file"": """", ""header_file"": "".binddrift/worktrees/v6.1/include/linux/slab.h"", ""line"": 215, ""params"": ""[\""void *object\""]"", ""return_type"": ""bool"", ""version_id"": ""v6.1""}","[""void *object""]",NEGATIVE_CONTROL,HEADER_DECLARATION_WITHOUT_BODY,CORRECT,m7-extractor-audit-reviewer1-llm-assisted,CORRECT,m7-extractor-audit-reviewer2-llm-assisted,CORRECT,m7-extractor-audit-adjudicator-llm-assisted,,"negative-control:HEADER_DECLARATION_WITHOUT_BODY; adjudicated extractor fact is correct, but this row documents a boundary where the parser should not be treated as completeness evidence"
c_functions-3110,c_functions,v6.2,latest-p002-v6.2-to-v6.3,.binddrift/worktrees/v6.2/include/linux/slab.h,171,slab_is_available,"{""c_symbol"": ""slab_is_available"", ""definition_file"": """", ""header_file"": "".binddrift/worktrees/v6.2/include/linux/slab.h"", ""line"": 171, ""params"": ""[]"", ""return_type"": ""bool"", ""version_id"": ""v6.2""}",[],NEGATIVE_CONTROL,HEADER_DECLARATION_WITHOUT_BODY,CORRECT,m7-extractor-audit-reviewer1-llm-assisted,CORRECT,m7-extractor-audit-reviewer2-llm-assisted,CORRECT,m7-extractor-audit-adjudicator-llm-assisted,,"negative-control:HEADER_DECLARATION_WITHOUT_BODY; adjudicated extractor fact is correct, but this row documents a boundary where the parser should not be treated as completeness evidence"
c_functions-3125,c_functions,v6.3,latest-p003-v6.3-to-v6.4,.binddrift/worktrees/v6.3/include/linux/slab.h,262,arch_slab_minalign,"{""c_symbol"": ""arch_slab_minalign"", ""definition_file"": "".binddrift/worktrees/v6.3/include/linux/slab.h"", ""header_file"": "".binddrift/worktrees/v6.3/include/linux/slab.h"", ""line"": 262, ""params"": ""[]"", ""return_type"": ""static inline unsigned int"", ""version_id"": ""v6.3""}",[],,,CORRECT,m7-extractor-audit-reviewer1-llm-assisted,CORRECT,m7-extractor-audit-reviewer2-llm-assisted,CORRECT,m7-extractor-audit-adjudicator-llm-assisted,,reviewed strict extractor fact against stored context; no extractor error found
c_functions-178,c_functions,v6.4,latest-p004-v6.4-to-v6.5,.binddrift/worktrees/v6.4/include/linux/sched.h,2216,spin_needbreak,"{""c_symbol"": ""spin_needbreak"", ""definition_file"": "".binddrift/worktrees/v6.4/include/linux/sched.h"", ""header_file"": "".binddrift/worktrees/v6.4/include/linux/sched.h"", ""line"": 2216, ""params"": ""[\""spinlock_t *lock\""]"", ""return_type"": ""static inline int"", ""version_id"": ""v6.4""}","[""spinlock_t *lock""]",,,CORRECT,m7-extractor-audit-reviewer1-llm-assisted,CORRECT,m7-extractor-audit-reviewer2-llm-assisted,CORRECT,m7-extractor-audit-adjudicator-llm-assisted,,reviewed strict extractor fact against stored context; no extractor error found
c_functions-171,c_functions,v6.5,latest-p005-v6.5-to-v6.6,.binddrift/worktrees/v6.5/include/linux/wait.h,212,__wake_up,"{""c_symbol"": ""__wake_up"", ""definition_file"": """", ""header_file"": "".binddrift/worktrees/v6.5/include/linux/wait.h"", ""line"": 212, ""params"": ""[\""struct wait_queue_head *wq_head\"", \""unsigned int mode\"", \""int nr\"", \""void *key\""]"", ""return_type"": ""int"", ""version_id"": ""v6.5""}","[""struct wait_queue_head *wq_head"", ""unsigned int mode"", ""int nr"", ""void *key""]",NEGATIVE_CONTROL,HEADER_DECLARATION_WITHOUT_BODY,CORRECT,m7-extractor-audit-reviewer1-llm-assisted,CORRECT,m7-extractor-audit-reviewer2-llm-assisted,CORRECT,m7-extractor-audit-adjudicator-llm-assisted,,"negative-control:HEADER_DECLARATION_WITHOUT_BODY; adjudicated extractor fact is correct, but this row documents a boundary where the parser should not be treated as completeness evidence"
c_functions-275,c_functions,v6.6,latest-p006-v6.6-to-v6.7,.binddrift/worktrees/v6.6/include/linux/sched.h,1556,task_pid,"{""c_symbol"": ""task_pid"", ""definition_file"": "".binddrift/worktrees/v6.6/include/linux/sched.h"", ""header_file"": "".binddrift/worktrees/v6.6/include/linux/sched.h"", ""line"": 1556, ""params"": ""[\""struct task_struct *task\""]"", ""return_type"": ""static inline struct pid *"", ""version_id"": ""v6.6""}","[""struct task_struct *task""]",,,CORRECT,m7-extractor-audit-reviewer1-llm-assisted,CORRECT,m7-extractor-audit-reviewer2-llm-assisted,CORRECT,m7-extractor-audit-adjudicator-llm-assisted,,reviewed strict extractor fact against stored context; no extractor error found
c_functions-303,c_functions,v6.7,latest-p007-v6.7-to-v6.8,.binddrift/worktrees/v6.7/include/linux/wait.h,152,wq_has_sleeper,"{""c_symbol"": ""wq_has_sleeper"", ""definition_file"": "".binddrift/worktrees/v6.7/include/linux/wait.h"", ""header_file"": "".binddrift/worktrees/v6.7/include/linux/wait.h"", ""line"": 152, ""params"": ""[\""struct wait_queue_head *wq_head\""]"", ""return_type"": ""static inline bool"", ""version_id"": ""v6.7""}","[""struct wait_queue_head *wq_head""]",,,CORRECT,m7-extractor-audit-reviewer1-llm-assisted,CORRECT,m7-extractor-audit-reviewer2-llm-assisted,CORRECT,m7-extractor-audit-adjudicator-llm-assisted,,reviewed strict extractor fact against stored context; no extractor error found
c_functions-040,c_functions,v6.8,latest-p008-v6.8-to-v6.9,.binddrift/worktrees/v6.8/include/linux/sched.h,1766,relax_compatible_cpus_allowed_ptr,"{""c_symbol"": ""relax_compatible_cpus_allowed_ptr"", ""definition_file"": """", ""header_file"": "".binddrift/worktrees/v6.8/include/linux/sched.h"", ""line"": 1766, ""params"": ""[\""struct task_struct *p\""]"", ""return_type"": ""extern void"", ""version_id"": ""v6.8""}","[""struct task_struct *p""]",NEGATIVE_CONTROL,HEADER_DECLARATION_WITHOUT_BODY,CORRECT,m7-extractor-audit-reviewer1-llm-assisted,CORRECT,m7-extractor-audit-reviewer2-llm-assisted,CORRECT,m7-extractor-audit-adjudicator-llm-assisted,,"negative-control:HEADER_DECLARATION_WITHOUT_BODY; adjudicated extractor fact is correct, but this row documents a boundary where the parser should not be treated as completeness evidence"
c_functions-302,c_functions,v6.9,latest-p009-v6.9-to-v6.10,.binddrift/worktrees/v6.9/include/linux/mdio.h,604,__mdiobus_modify,"{""c_symbol"": ""__mdiobus_modify"", ""definition_file"": """", ""header_file"": "".binddrift/worktrees/v6.9/include/linux/mdio.h"", ""line"": 604, ""params"": ""[\""struct mii_bus *bus\"", \""int addr\"", \""u32 regnum\"", \""u16 mask\"", \""u16 set\""]"", ""return_type"": ""int"", ""version_id"": ""v6.9""}","[""struct mii_bus *bus"", ""int addr"", ""u32 regnum"", ""u16 mask"", ""u16 set""]",NEGATIVE_CONTROL,HEADER_DECLARATION_WITHOUT_BODY,CORRECT,m7-extractor-audit-reviewer1-llm-assisted,CORRECT,m7-extractor-audit-reviewer2-llm-assisted,CORRECT,m7-extractor-audit-adjudicator-llm-assisted,,"negative-control:HEADER_DECLARATION_WITHOUT_BODY; adjudicated extractor fact is correct, but this row documents a boundary where the parser should not be treated as completeness evidence"
c_functions-215,c_functions,v6.10,latest-p010-v6.10-to-v6.11,.binddrift/worktrees/v6.10/include/linux/phy.h,1898,genphy_c45_an_config_aneg,"{""c_symbol"": ""genphy_c45_an_config_aneg"", ""definition_file"": """", ""header_file"": "".binddrift/worktrees/v6.10/include/linux/phy.h"", ""line"": 1898, ""params"": ""[\""struct phy_device *phydev\""]"", ""return_type"": ""int"", ""version_id"": ""v6.10""}","[""struct phy_device *phydev""]",NEGATIVE_CONTROL,HEADER_DECLARATION_WITHOUT_BODY,CORRECT,m7-extractor-audit-reviewer1-llm-assisted,CORRECT,m7-extractor-audit-reviewer2-llm-assisted,CORRECT,m7-extractor-audit-adjudicator-llm-assisted,,"negative-control:HEADER_DECLARATION_WITHOUT_BODY; adjudicated extractor fact is correct, but this row documents a boundary where the parser should not be treated as completeness evidence"
c_functions-016,c_functions,v6.11,latest-p011-v6.11-to-v6.12,.binddrift/worktrees/v6.11/include/linux/blkdev.h,1612,sync_blockdev,"{""c_symbol"": ""sync_blockdev"", ""definition_file"": """", ""header_file"": "".binddrift/worktrees/v6.11/include/linux/blkdev.h"", ""line"": 1612, ""params"": ""[\""struct block_device *bdev\""]"", ""return_type"": ""int"", ""version_id"": ""v6.11""}","[""struct block_device *bdev""]",NEGATIVE_CONTROL,HEADER_DECLARATION_WITHOUT_BODY,CORRECT,m7-extractor-audit-reviewer1-llm-assisted,CORRECT,m7-extractor-audit-reviewer2-llm-assisted,CORRECT,m7-extractor-audit-adjudicator-llm-assisted,,"negative-control:HEADER_DECLARATION_WITHOUT_BODY; adjudicated extractor fact is correct, but this row documents a boundary where the parser should not be treated as completeness evidence"
c_functions-102,c_functions,v6.12,latest-p012-v6.12-to-v6.13,.binddrift/worktrees/v6.12/include/linux/blkdev.h,1153,queue_virt_boundary,"{""c_symbol"": ""queue_virt_boundary"", ""definition_file"": "".binddrift/worktrees/v6.12/include/linux/blkdev.h"", ""header_file"": "".binddrift/worktrees/v6.12/include/linux/blkdev.h"", ""line"": 1153, ""params"": ""[\""const struct request_queue *q\""]"", ""return_type"": ""static inline unsigned long"", ""version_id"": ""v6.12""}","[""const struct request_queue *q""]",,,CORRECT,m7-extractor-audit-reviewer1-llm-assisted,CORRECT,m7-extractor-audit-reviewer2-llm-assisted,CORRECT,m7-extractor-audit-adjudicator-llm-assisted,,reviewed strict extractor fact against stored context; no extractor error found
c_functions-017,c_functions,v6.13,latest-p013-v6.13-to-v6.14,.binddrift/worktrees/v6.13/include/linux/fs.h,2926,notify_change,"{""c_symbol"": ""notify_change"", ""definition_file"": """", ""header_file"": "".binddrift/worktrees/v6.13/include/linux/fs.h"", ""line"": 2926, ""params"": ""[\""struct mnt_idmap *\"", \""struct dentry *\"", \""struct iattr *\"", \""struct inode **\""]"", ""return_type"": ""int"", ""version_id"": ""v6.13""}","[""struct mnt_idmap *"", ""struct dentry *"", ""struct iattr *"", ""struct inode **""]",NEGATIVE_CONTROL,HEADER_DECLARATION_WITHOUT_BODY,CORRECT,m7-extractor-audit-reviewer1-llm-assisted,CORRECT,m7-extractor-audit-reviewer2-llm-assisted,CORRECT,m7-extractor-audit-adjudicator-llm-assisted,,"negative-control:HEADER_DECLARATION_WITHOUT_BODY; adjudicated extractor fact is correct, but this row documents a boundary where the parser should not be treated as completeness evidence"
c_functions-030,c_functions,v6.14,latest-p014-v6.14-to-v6.15,.binddrift/worktrees/v6.14/include/linux/sched.h,2147,need_resched,"{""c_symbol"": ""need_resched"", ""definition_file"": "".binddrift/worktrees/v6.14/include/linux/sched.h"", ""header_file"": "".binddrift/worktrees/v6.14/include/linux/sched.h"", ""line"": 2147, ""params"": ""[]"", ""return_type"": ""static __always_inline bool"", ""version_id"": ""v6.14""}",[],,,CORRECT,m7-extractor-audit-reviewer1-llm-assisted,CORRECT,m7-extractor-audit-reviewer2-llm-assisted,CORRECT,m7-extractor-audit-adjudicator-llm-assisted,,reviewed strict extractor fact against stored context; no extractor error found
