precision_id,extractor_name,source_table,version,file,line,symbol,extracted_fact,reviewer1_label,reviewer1_notes,reviewer2_label,reviewer2_notes,adjudicated_label,adjudication_notes,error_category
c-struct-field-0011,c_struct_fields,c_structs,6d35786de281,vendor/linux/include/acpi/acbuffer.h,44,acpi_grt_info.second,"{""align"": null, ""c_type"": ""acpi_grt_info"", ""field_name"": ""second"", ""field_type"": ""u8"", ""fields"": ""[{\""name\"": \""year\"", \""type\"": \""u16\""}, {\""name\"": \""month\"", \""type\"": \""u8\""}, {\""name\"": \""day\"", \""type\"": \""u8\""}, {\""name\"": \""hour\"", \""type\"": \""u8\""}, {\""name\"": \""minute\"", \""type\"": \""u8\""}, {\""name\"": \""second\"", \""type\"": \""u8\""}, {\""name\"": \""valid\"", \""type\"": \""u8\""}, {\""name\"": \""milliseconds\"", \""type\"": \""u16\""}, {\""name\"": \""timezone\"", \""type\"": \""u16\""}, {\""name\"": \""daylight\"", \""type\"": \""u8\""}, {\""name\"": \""reserved\"", \""type\"": \""u8\""}]"", ""header_file"": ""vendor/linux/include/acpi/acbuffer.h"", ""line"": 44, ""size"": null, ""version_id"": ""6d35786de281""}",CORRECT,independent precision review of extracted fact source context; rank/score/ranker blinded,CORRECT,independent precision review of extracted fact source context; rank/score/ranker blinded,CORRECT,adjudicated precision sample from extractor output; separate from recall gold labels,
c-struct-field-0012,c_struct_fields,c_structs,6d35786de281,vendor/linux/include/acpi/acbuffer.h,44,acpi_grt_info.valid,"{""align"": null, ""c_type"": ""acpi_grt_info"", ""field_name"": ""valid"", ""field_type"": ""u8"", ""fields"": ""[{\""name\"": \""year\"", \""type\"": \""u16\""}, {\""name\"": \""month\"", \""type\"": \""u8\""}, {\""name\"": \""day\"", \""type\"": \""u8\""}, {\""name\"": \""hour\"", \""type\"": \""u8\""}, {\""name\"": \""minute\"", \""type\"": \""u8\""}, {\""name\"": \""second\"", \""type\"": \""u8\""}, {\""name\"": \""valid\"", \""type\"": \""u8\""}, {\""name\"": \""milliseconds\"", \""type\"": \""u16\""}, {\""name\"": \""timezone\"", \""type\"": \""u16\""}, {\""name\"": \""daylight\"", \""type\"": \""u8\""}, {\""name\"": \""reserved\"", \""type\"": \""u8\""}]"", ""header_file"": ""vendor/linux/include/acpi/acbuffer.h"", ""line"": 44, ""size"": null, ""version_id"": ""6d35786de281""}",CORRECT,independent precision review of extracted fact source context; rank/score/ranker blinded,CORRECT,independent precision review of extracted fact source context; rank/score/ranker blinded,CORRECT,adjudicated precision sample from extractor output; separate from recall gold labels,
c-struct-field-0013,c_struct_fields,c_structs,6d35786de281,vendor/linux/include/acpi/acbuffer.h,44,acpi_grt_info.milliseconds,"{""align"": null, ""c_type"": ""acpi_grt_info"", ""field_name"": ""milliseconds"", ""field_type"": ""u16"", ""fields"": ""[{\""name\"": \""year\"", \""type\"": \""u16\""}, {\""name\"": \""month\"", \""type\"": \""u8\""}, {\""name\"": \""day\"", \""type\"": \""u8\""}, {\""name\"": \""hour\"", \""type\"": \""u8\""}, {\""name\"": \""minute\"", \""type\"": \""u8\""}, {\""name\"": \""second\"", \""type\"": \""u8\""}, {\""name\"": \""valid\"", \""type\"": \""u8\""}, {\""name\"": \""milliseconds\"", \""type\"": \""u16\""}, {\""name\"": \""timezone\"", \""type\"": \""u16\""}, {\""name\"": \""daylight\"", \""type\"": \""u8\""}, {\""name\"": \""reserved\"", \""type\"": \""u8\""}]"", ""header_file"": ""vendor/linux/include/acpi/acbuffer.h"", ""line"": 44, ""size"": null, ""version_id"": ""6d35786de281""}",CORRECT,independent precision review of extracted fact source context; rank/score/ranker blinded,CORRECT,independent precision review of extracted fact source context; rank/score/ranker blinded,CORRECT,adjudicated precision sample from extractor output; separate from recall gold labels,
c-struct-field-0014,c_struct_fields,c_structs,6d35786de281,vendor/linux/include/acpi/acbuffer.h,44,acpi_grt_info.timezone,"{""align"": null, ""c_type"": ""acpi_grt_info"", ""field_name"": ""timezone"", ""field_type"": ""u16"", ""fields"": ""[{\""name\"": \""year\"", \""type\"": \""u16\""}, {\""name\"": \""month\"", \""type\"": \""u8\""}, {\""name\"": \""day\"", \""type\"": \""u8\""}, {\""name\"": \""hour\"", \""type\"": \""u8\""}, {\""name\"": \""minute\"", \""type\"": \""u8\""}, {\""name\"": \""second\"", \""type\"": \""u8\""}, {\""name\"": \""valid\"", \""type\"": \""u8\""}, {\""name\"": \""milliseconds\"", \""type\"": \""u16\""}, {\""name\"": \""timezone\"", \""type\"": \""u16\""}, {\""name\"": \""daylight\"", \""type\"": \""u8\""}, {\""name\"": \""reserved\"", \""type\"": \""u8\""}]"", ""header_file"": ""vendor/linux/include/acpi/acbuffer.h"", ""line"": 44, ""size"": null, ""version_id"": ""6d35786de281""}",CORRECT,independent precision review of extracted fact source context; rank/score/ranker blinded,CORRECT,independent precision review of extracted fact source context; rank/score/ranker blinded,CORRECT,adjudicated precision sample from extractor output; separate from recall gold labels,
c-struct-field-0015,c_struct_fields,c_structs,6d35786de281,vendor/linux/include/acpi/acbuffer.h,44,acpi_grt_info.daylight,"{""align"": null, ""c_type"": ""acpi_grt_info"", ""field_name"": ""daylight"", ""field_type"": ""u8"", ""fields"": ""[{\""name\"": \""year\"", \""type\"": \""u16\""}, {\""name\"": \""month\"", \""type\"": \""u8\""}, {\""name\"": \""day\"", \""type\"": \""u8\""}, {\""name\"": \""hour\"", \""type\"": \""u8\""}, {\""name\"": \""minute\"", \""type\"": \""u8\""}, {\""name\"": \""second\"", \""type\"": \""u8\""}, {\""name\"": \""valid\"", \""type\"": \""u8\""}, {\""name\"": \""milliseconds\"", \""type\"": \""u16\""}, {\""name\"": \""timezone\"", \""type\"": \""u16\""}, {\""name\"": \""daylight\"", \""type\"": \""u8\""}, {\""name\"": \""reserved\"", \""type\"": \""u8\""}]"", ""header_file"": ""vendor/linux/include/acpi/acbuffer.h"", ""line"": 44, ""size"": null, ""version_id"": ""6d35786de281""}",CORRECT,independent precision review of extracted fact source context; rank/score/ranker blinded,CORRECT,independent precision review of extracted fact source context; rank/score/ranker blinded,CORRECT,adjudicated precision sample from extractor output; separate from recall gold labels,
c-struct-field-0016,c_struct_fields,c_structs,6d35786de281,vendor/linux/include/acpi/acbuffer.h,44,acpi_grt_info.reserved,"{""align"": null, ""c_type"": ""acpi_grt_info"", ""field_name"": ""reserved"", ""field_type"": ""u8"", ""fields"": ""[{\""name\"": \""year\"", \""type\"": \""u16\""}, {\""name\"": \""month\"", \""type\"": \""u8\""}, {\""name\"": \""day\"", \""type\"": \""u8\""}, {\""name\"": \""hour\"", \""type\"": \""u8\""}, {\""name\"": \""minute\"", \""type\"": \""u8\""}, {\""name\"": \""second\"", \""type\"": \""u8\""}, {\""name\"": \""valid\"", \""type\"": \""u8\""}, {\""name\"": \""milliseconds\"", \""type\"": \""u16\""}, {\""name\"": \""timezone\"", \""type\"": \""u16\""}, {\""name\"": \""daylight\"", \""type\"": \""u8\""}, {\""name\"": \""reserved\"", \""type\"": \""u8\""}]"", ""header_file"": ""vendor/linux/include/acpi/acbuffer.h"", ""line"": 44, ""size"": null, ""version_id"": ""6d35786de281""}",CORRECT,independent precision review of extracted fact source context; rank/score/ranker blinded,CORRECT,independent precision review of extracted fact source context; rank/score/ranker blinded,CORRECT,adjudicated precision sample from extractor output; separate from recall gold labels,
c-struct-field-0017,c_struct_fields,c_structs,6d35786de281,vendor/linux/include/acpi/acbuffer.h,60,acpi_gtm_info.pio_speed0,"{""align"": null, ""c_type"": ""acpi_gtm_info"", ""field_name"": ""pio_speed0"", ""field_type"": ""u32"", ""fields"": ""[{\""name\"": \""pio_speed0\"", \""type\"": \""u32\""}, {\""name\"": \""dma_speed0\"", \""type\"": \""u32\""}, {\""name\"": \""pio_speed1\"", \""type\"": \""u32\""}, {\""name\"": \""dma_speed1\"", \""type\"": \""u32\""}, {\""name\"": \""flags\"", \""type\"": \""u32\""}]"", ""header_file"": ""vendor/linux/include/acpi/acbuffer.h"", ""line"": 60, ""size"": null, ""version_id"": ""6d35786de281""}",CORRECT,independent precision review of extracted fact source context; rank/score/ranker blinded,CORRECT,independent precision review of extracted fact source context; rank/score/ranker blinded,CORRECT,adjudicated precision sample from extractor output; separate from recall gold labels,
c-struct-field-0018,c_struct_fields,c_structs,6d35786de281,vendor/linux/include/acpi/acbuffer.h,60,acpi_gtm_info.dma_speed0,"{""align"": null, ""c_type"": ""acpi_gtm_info"", ""field_name"": ""dma_speed0"", ""field_type"": ""u32"", ""fields"": ""[{\""name\"": \""pio_speed0\"", \""type\"": \""u32\""}, {\""name\"": \""dma_speed0\"", \""type\"": \""u32\""}, {\""name\"": \""pio_speed1\"", \""type\"": \""u32\""}, {\""name\"": \""dma_speed1\"", \""type\"": \""u32\""}, {\""name\"": \""flags\"", \""type\"": \""u32\""}]"", ""header_file"": ""vendor/linux/include/acpi/acbuffer.h"", ""line"": 60, ""size"": null, ""version_id"": ""6d35786de281""}",CORRECT,independent precision review of extracted fact source context; rank/score/ranker blinded,CORRECT,independent precision review of extracted fact source context; rank/score/ranker blinded,CORRECT,adjudicated precision sample from extractor output; separate from recall gold labels,
c-struct-field-0019,c_struct_fields,c_structs,6d35786de281,vendor/linux/include/acpi/acbuffer.h,60,acpi_gtm_info.pio_speed1,"{""align"": null, ""c_type"": ""acpi_gtm_info"", ""field_name"": ""pio_speed1"", ""field_type"": ""u32"", ""fields"": ""[{\""name\"": \""pio_speed0\"", \""type\"": \""u32\""}, {\""name\"": \""dma_speed0\"", \""type\"": \""u32\""}, {\""name\"": \""pio_speed1\"", \""type\"": \""u32\""}, {\""name\"": \""dma_speed1\"", \""type\"": \""u32\""}, {\""name\"": \""flags\"", \""type\"": \""u32\""}]"", ""header_file"": ""vendor/linux/include/acpi/acbuffer.h"", ""line"": 60, ""size"": null, ""version_id"": ""6d35786de281""}",CORRECT,independent precision review of extracted fact source context; rank/score/ranker blinded,CORRECT,independent precision review of extracted fact source context; rank/score/ranker blinded,CORRECT,adjudicated precision sample from extractor output; separate from recall gold labels,
c-struct-field-0020,c_struct_fields,c_structs,6d35786de281,vendor/linux/include/acpi/acbuffer.h,60,acpi_gtm_info.dma_speed1,"{""align"": null, ""c_type"": ""acpi_gtm_info"", ""field_name"": ""dma_speed1"", ""field_type"": ""u32"", ""fields"": ""[{\""name\"": \""pio_speed0\"", \""type\"": \""u32\""}, {\""name\"": \""dma_speed0\"", \""type\"": \""u32\""}, {\""name\"": \""pio_speed1\"", \""type\"": \""u32\""}, {\""name\"": \""dma_speed1\"", \""type\"": \""u32\""}, {\""name\"": \""flags\"", \""type\"": \""u32\""}]"", ""header_file"": ""vendor/linux/include/acpi/acbuffer.h"", ""line"": 60, ""size"": null, ""version_id"": ""6d35786de281""}",CORRECT,independent precision review of extracted fact source context; rank/score/ranker blinded,CORRECT,independent precision review of extracted fact source context; rank/score/ranker blinded,CORRECT,adjudicated precision sample from extractor output; separate from recall gold labels,
c-struct-field-0021,c_struct_fields,c_structs,6d35786de281,vendor/linux/include/acpi/acbuffer.h,60,acpi_gtm_info.flags,"{""align"": null, ""c_type"": ""acpi_gtm_info"", ""field_name"": ""flags"", ""field_type"": ""u32"", ""fields"": ""[{\""name\"": \""pio_speed0\"", \""type\"": \""u32\""}, {\""name\"": \""dma_speed0\"", \""type\"": \""u32\""}, {\""name\"": \""pio_speed1\"", \""type\"": \""u32\""}, {\""name\"": \""dma_speed1\"", \""type\"": \""u32\""}, {\""name\"": \""flags\"", \""type\"": \""u32\""}]"", ""header_file"": ""vendor/linux/include/acpi/acbuffer.h"", ""line"": 60, ""size"": null, ""version_id"": ""6d35786de281""}",CORRECT,independent precision review of extracted fact source context; rank/score/ranker blinded,CORRECT,independent precision review of extracted fact source context; rank/score/ranker blinded,CORRECT,adjudicated precision sample from extractor output; separate from recall gold labels,
c-struct-field-0022,c_struct_fields,c_structs,6d35786de281,vendor/linux/include/acpi/acbuffer.h,77,acpi_pld_info.revision,"{""align"": null, ""c_type"": ""acpi_pld_info"", ""field_name"": ""revision"", ""field_type"": ""u8"", ""fields"": ""[{\""name\"": \""revision\"", \""type\"": \""u8\""}, {\""name\"": \""ignore_color\"", \""type\"": \""u8\""}, {\""name\"": \""red\"", \""type\"": \""u8\""}, {\""name\"": \""green\"", \""type\"": \""u8\""}, {\""name\"": \""blue\"", \""type\"": \""u8\""}, {\""name\"": \""width\"", \""type\"": \""u16\""}, {\""name\"": \""height\"", \""type\"": \""u16\""}, {\""name\"": \""user_visible\"", \""type\"": \""u8\""}, {\""name\"": \""dock\"", \""type\"": \""u8\""}, {\""name\"": \""lid\"", \""type\"": \""u8\""}, {\""name\"": \""panel\"", \""type\"": \""u8\""}, {\""name\"": \""vertical_position\"", \""type\"": \""u8\""}, {\""name\"": \""horizontal_position\"", \""type\"": \""u8\""}, {\""name\"": \""shape\"", \""type\"": \""u8\""}, {\""name\"": \""group_orientation\"", \""type\"": \""u8\""}, {\""name\"": \""group_token\"", \""type\"": \""u8\""}, {\""name\"": \""group_position\"", \""type\"": \""u8\""}, {\""name\"": \""bay\"", \""type\"": \""u8\""}, {\""name\"": \""ejectable\"", \""type\"": \""u8\""}, {\""name\"": \""ospm_eject_required\"", \""type\"": \""u8\""}, {\""name\"": \""cabinet_number\"", \""type\"": \""u8\""}, {\""name\"": \""card_cage_number\"", \""type\"": \""u8\""}, {\""name\"": \""reference\"", \""type\"": \""u8\""}, {\""name\"": \""rotation\"", \""type\"": \""u8\""}, {\""name\"": \""order\"", \""type\"": \""u8\""}, {\""name\"": \""reserved\"", \""type\"": \""u8\""}, {\""name\"": \""vertical_offset\"", \""type\"": \""u16\""}, {\""name\"": \""horizontal_offset\"", \""type\"": \""u16\""}]"", ""header_file"": ""vendor/linux/include/acpi/acbuffer.h"", ""line"": 77, ""size"": null, ""version_id"": ""6d35786de281""}",CORRECT,independent precision review of extracted fact source context; rank/score/ranker blinded,CORRECT,independent precision review of extracted fact source context; rank/score/ranker blinded,CORRECT,adjudicated precision sample from extractor output; separate from recall gold labels,
c-struct-field-0023,c_struct_fields,c_structs,6d35786de281,vendor/linux/include/acpi/acbuffer.h,77,acpi_pld_info.ignore_color,"{""align"": null, ""c_type"": ""acpi_pld_info"", ""field_name"": ""ignore_color"", ""field_type"": ""u8"", ""fields"": ""[{\""name\"": \""revision\"", \""type\"": \""u8\""}, {\""name\"": \""ignore_color\"", \""type\"": \""u8\""}, {\""name\"": \""red\"", \""type\"": \""u8\""}, {\""name\"": \""green\"", \""type\"": \""u8\""}, {\""name\"": \""blue\"", \""type\"": \""u8\""}, {\""name\"": \""width\"", \""type\"": \""u16\""}, {\""name\"": \""height\"", \""type\"": \""u16\""}, {\""name\"": \""user_visible\"", \""type\"": \""u8\""}, {\""name\"": \""dock\"", \""type\"": \""u8\""}, {\""name\"": \""lid\"", \""type\"": \""u8\""}, {\""name\"": \""panel\"", \""type\"": \""u8\""}, {\""name\"": \""vertical_position\"", \""type\"": \""u8\""}, {\""name\"": \""horizontal_position\"", \""type\"": \""u8\""}, {\""name\"": \""shape\"", \""type\"": \""u8\""}, {\""name\"": \""group_orientation\"", \""type\"": \""u8\""}, {\""name\"": \""group_token\"", \""type\"": \""u8\""}, {\""name\"": \""group_position\"", \""type\"": \""u8\""}, {\""name\"": \""bay\"", \""type\"": \""u8\""}, {\""name\"": \""ejectable\"", \""type\"": \""u8\""}, {\""name\"": \""ospm_eject_required\"", \""type\"": \""u8\""}, {\""name\"": \""cabinet_number\"", \""type\"": \""u8\""}, {\""name\"": \""card_cage_number\"", \""type\"": \""u8\""}, {\""name\"": \""reference\"", \""type\"": \""u8\""}, {\""name\"": \""rotation\"", \""type\"": \""u8\""}, {\""name\"": \""order\"", \""type\"": \""u8\""}, {\""name\"": \""reserved\"", \""type\"": \""u8\""}, {\""name\"": \""vertical_offset\"", \""type\"": \""u16\""}, {\""name\"": \""horizontal_offset\"", \""type\"": \""u16\""}]"", ""header_file"": ""vendor/linux/include/acpi/acbuffer.h"", ""line"": 77, ""size"": null, ""version_id"": ""6d35786de281""}",CORRECT,independent precision review of extracted fact source context; rank/score/ranker blinded,CORRECT,independent precision review of extracted fact source context; rank/score/ranker blinded,CORRECT,adjudicated precision sample from extractor output; separate from recall gold labels,
